iter	Passed	Remaining
818	26468	5849
819	26501	5817
820	26534	5785
821	26561	5751
822	26591	5718
823	26631	5688
824	26758	5676
825	26836	5653
826	26889	5625
827	27008	5610
828	27068	5583
829	27121	5555
830	27228	5537
831	27291	5510
832	27395	5492
833	27473	5468
834	27568	5447
835	27627	5419
836	27677	5389
837	27739	5362
838	27792	5333
839	27851	5305
840	27929	5280
841	28065	5266
842	28142	5241
843	28169	5206
844	28201	5173
845	28235	5139
846	28263	5105
847	28296	5071
848	28321	5037
849	28351	5003
850	28379	4968
851	28409	4934
852	28434	4900
853	28466	4866
854	28496	4832
855	28525	4798
856	28556	4764
857	28583	4730
858	28611	4696
859	28637	4661
860	28665	4627
861	28702	4595
862	28729	4560
863	28758	4526
864	28790	4493
865	28823	4460
866	28847	4425
867	28878	4391
868	28908	4357
869	28960	4327
870	29012	4296
871	29052	4264
872	29084	4231
873	29109	4196
874	29145	4163
875	29179	4130
876	29213	4097
877	29244	4063
878	29277	4030
879	29315	3997
880	29353	3964
881	29380	3930
882	29411	3897
883	29444	3863
884	29474	3830
885	29508	3796
886	29544	3763
887	29576	3730
888	29609	3697
889	29637	3663
890	29664	3629
891	29689	3594
892	29720	3561
893	29749	3527
894	29774	3493
895	29808	3459
896	29838	3426
897	29866	3392
898	29891	3358
899	29943	3327
900	29991	3295
901	30024	3262
902	30054	3228
903	30085	3194
904	30115	3161
905	30141	3127
906	30169	3093
907	30197	3059
908	30224	3025
909	30256	2992
910	30285	2958
911	30313	2924
912	30341	2891
913	30370	2857
914	30402	2824
915	30436	2791
916	30466	2757
917	30702	2742
918	30734	2708
919	30926	2689
920	31226	2678
921	31336	2651
922	31419	2621
923	31536	2593
924	31728	2572
925	31805	2541
926	31842	2507
927	31884	2473
928	31948	2441
929	31986	2407
930	32053	2375
931	32086	2341
932	32116	2306
933	32148	2271
934	32179	2237
935	32209	2202
936	32235	2167
937	32266	2132
938	32297	2098
939	32331	2063
940	32364	2029
941	32393	1994
942	32430	1960
943	32480	1926
944	32527	1893
945	32577	1859
946	32630	1826
947	32684	1792
948	32716	1758
949	32749	1723
950	32778	1688
951	32805	1654
952	32831	1619
953	32861	1584
954	32894	1550
955	32924	1515
956	32948	1480
957	32976	1445
958	33007	1411
959	33032	1376
960	33060	1341
961	33089	1307
962	33118	1272
963	33151	1238
964	33179	1203
965	33212	1168
966	33240	1134
967	33264	1099
968	33302	1065
969	33329	1030
970	33359	996
971	33390	961
972	33417	927
973	33445	892
974	33474	858
975	33508	823
976	33545	789
977	33587	755
978	33623	721
979	33651	686
980	33681	652
981	33725	618
982	33756	583
983	33788	549
984	33825	515
985	33858	480
986	33890	446
987	33927	412
988	33960	377
989	33994	343
990	34033	309
991	34065	274
992	34098	240
993	34138	206
994	34167	171
995	34199	137
996	34237	103
997	34265	68
998	34310	34
999	34345	0
